id,cluster
21967.239365504196_48133.18206225162,10
21967.473062778925_48127.1170542465,10
21968.969922513406_48159.28854350663,10
21969.996269438423_48131.71379666051,10
21970.074168529994_48129.69212732547,10
21971.32623482532_48160.628827266795,10
21972.886748215053_48132.4530339528,10
21973.766451263225_48162.29864609632,10
21975.910801834092_48135.3997741285,10
21976.26570869077_48164.13857564414,10
21978.824007107953_48166.14861591024,10
21978.93485545313_48138.346514304205,10
21981.31835570706_48168.41278521768,10
21982.1491065112_48139.93620432511,10
21983.74875448808_48170.93108356646,10
21985.553555008286_48140.16884419122,10
21985.979905391847_48173.46052890244,10
21988.011808418356_48176.00112122562,10
21988.563699745653_48074.49165970368,10
21990.075693057_48178.67631195566,10
21991.167339266132_48075.92805168935,10
21992.171559307775_48181.48610109256,10
21994.678140080247_48077.766410913246,10
21994.76433049566_48184.85181748282,10
21997.150467184132_48187.935348923485,10
21997.738200544372_48047.134571655864,10
21998.833064436087_48190.18076816118,10
21999.096102188003_48080.006737375355,10
22000.717375866367_48192.656866415484,10
22001.63639427693_48048.78070152981,10
22002.803401474972_48195.36364368639,10
22003.364010935245_48082.121129816675,10
22004.655732858177_48197.74677408518,10
22006.274370015988_48199.80625761185,10
22006.37409584855_48049.12799147683,10
22007.481866321978_48084.10958823721,10
22007.80445385061_48201.92972410556,10
22009.245984362045_48204.11717356633,10
22010.52552615441_48049.24566904755,9
22010.69243367337_48206.26098279731,10
22011.63662024598_48086.0779959347,10
22012.143801784572_48208.36115179851,10
22013.942022946063_48210.98249892662,10
22014.090685194504_48049.13373424197,9
22015.82827270726_48088.02635290914,10
22016.08709715784_48214.125024181645,10
22017.6558442346_48049.021799436385,9
22017.93697707822_48216.80353971387,10
22019.491662707216_48219.018045523284,10
22019.532797178705_47741.31663190008,10
22019.539249995854_47736.81063436366,10
22019.545702813004_47732.30463682723,10
22019.893260328354_47727.928676260606,10
22020.03141992271_47745.09869028433,10
22020.108481205156_48089.966232663865,10
22020.581922541907_47723.68275266377,10
22021.035118227872_47748.15680951638,10
