id,cluster
23186.788076514014_45410.273750154316,9
23189.706992731913_45411.68063636982,9
23194.05154022381_45413.98779570144,9
23198.201747729752_45416.58536535568,4
23202.157615249744_45419.47334533253,4
23205.88469909441_45422.53506710157,4
23209.382999263762_45425.770530662805,11
23212.644313105255_45429.06290774025,4
23215.66864061889_45432.41219833391,4
23218.692968132527_45435.761488927565,5
23221.607410813704_45439.02428650025,5
23224.41196866241_45442.20059105198,5
23227.312416083725_45442.462246518364,5
23230.308753077647_45439.80925289941,5
23233.551159424205_45440.36993860814,5
23235.16764742277_45451.651855881035,5
23237.03963512341_45444.14430364456,5
23237.578464456263_45447.90494273552,5
23240.47644857879_45447.86153612638,5
23242.623386450377_45468.223085676305,5
23242.66134128919_45465.79820481478,5
23243.861599790347_45451.52163605361,5
23245.86933618158_45467.830997322904,5
23247.14339885462_45453.61934691815,5
23249.057643760396_45469.483554305065,5
23250.3218457716_45454.154668720024,5
23251.37337404492_45471.978111732686,5
23252.110609415307_45469.11233394373,5
23252.673731860377_45456.27191424855,5
23252.81652703515_45475.314669605774,0
23253.7388865846_45452.76299363992,5
23254.199057120954_45459.97108350374,5
23255.02823314631_45466.71733623892,0
23255.724382381522_45463.67025275892,5
23257.394521293612_45449.44432167784,5
23257.73058233706_45477.76500095897,0
23258.135281467075_45464.150819040675,0
23260.240850947_45476.53855680186,0
23261.064917624615_45446.129525120756,5
23261.431754377598_45461.412782349,0
23263.127059267175_45477.67652693065,0
23264.750075577613_45442.81860396867,5
23265.13172712639_45461.020452088516,0
23266.389207297583_45481.178911345334,0
23267.60912732292_45483.20082850025,0
23268.454916016817_45439.54718629798,0
23268.778470778205_45483.75628091596,0
23269.235199713443_45462.973828259244,0
23272.179438942243_45436.31527210869,0
23273.338672300495_45464.92720442996,0
23275.926103492806_45433.06935923857,0
23279.694909668517_45429.809447687636,0
23281.525594915514_45450.093693758856,0
23283.471097218033_45426.551475411456,0
23283.64122508165_45447.23607915221,0
23285.756855247786_45444.37846454555,0
23287.254666141354_45423.295442410046,0
23287.99385247936_45441.61388147382,0
23290.352216776384_45438.94232993701,0
23291.07513715238_45420.01541598247,0
23292.710581073407_45436.2707784002,0
23294.932510251103_45416.71139612873,0
23295.164070151004_45433.615819185725,0
23297.712684009173_45430.97745229359,0
23298.74068070079_45413.312591745824,0
23300.26129786735_45428.339085401465,0
23302.499648501434_45409.81900283375,0
23303.27732283654_45425.23234055361,0
23306.155291938663_45406.2626552214,0
23306.76075891675_45421.657217750035,0
23309.70134348875_45418.62357442527,0
23309.70761101247_45402.643548908774,0
23312.099076552535_45416.13141057933,0
23313.356740222014_45401.4815980518,0
23314.49680961632_45413.639246733386,0
23316.866661554384_45411.11423893343,0
23317.102679567302_45402.77680265048,0
23319.20863236672_45408.55638717945,0
23320.848618912583_45404.07200724915,0
23321.550603179057_45405.998535425475,0
23322.640973018675_45390.903400067895,0
23322.876265402272_45387.755511747004,0
23324.359982847425_45402.8138299168,0
23325.294650064818_45393.38063644942,0
23326.000527215605_45383.93697148676,0
23327.63677137183_45399.00227065341,0
23327.948327110957_45395.85787283095,0
23329.129709369154_45380.084728807065,0
23330.8741992446_45395.202841042395,0
23332.263811862915_45376.19878370794,0
23334.07226646575_45391.41554108376,0
23335.400374886798_45372.29499911521,0
23337.262954074053_45387.62432814343,0
23338.5393984408_45368.37337502887,0
23340.446262069505_45383.829202221394,0
23341.693182458588_45364.40016027095,0
23343.651710756953_45379.976497364514,8
23344.861726940166_45360.37535484143,0
23346.879300136396_45376.06621357278,0
23348.05487334181_45356.3543660545,8
23350.07982904462_45372.15213687791,0
23351.272621663524_45352.337193910134,8
23353.25329748162_45368.23426727988,0
23354.5272735354_45348.38121127556,8
23356.4144665673_45364.34024840559,8
23357.818828957435_45344.48641815078,8
23359.563336301657_45360.47008025504,8
23361.17434961672_45340.676420922086,8
23364.59383551325_45336.95121958948,8
23368.0846680785_45333.36623538984,8
23371.646847312473_45329.92146832318,8
23372.365478881587_45345.356649293804,8
23375.31481452975_45326.59689860358,8
23375.69148466993_45341.715214262265,8
23379.088569730327_45323.39252623106,8
23379.147879667606_45338.203732115915,8
23381.56754877187_45323.68052307469,8
23382.73466387462_45334.822202854746,8
23382.751751654374_45327.46088913448,8
23383.935954536875_45331.241255194276,8
23386.45429837648_45331.61419176837,8
23390.306783173182_45328.57969885678,8
23394.316719805967_45325.72847835408,8
23394.417384760178_45314.63259392465,9
23395.33250035576_45311.97652427075,9
23396.877551859812_45317.47017884014,9
23398.484108274824_45323.06053026028,9
23399.33771895944_45320.307763755634,9
23399.62289864655_45309.50196987842,9
23402.75236455826_45320.489036788465,9
23403.984643237738_45307.11414460312,9
23407.12148865626_45318.013997938644,9
23408.41773412932_45304.81304844482,9
23411.57672083935_45315.68106479898,9
23412.902490583874_45302.60474366458,9
23416.11806110753_45313.49023736947,9
23417.438912601385_45300.4892302624,9
23420.644644751665_45311.448071820356,9
23422.03930109451_45298.47831864177,9
23425.15647177175_45309.55456815163,9
23426.703656063255_45296.572008802694,9
23429.722424988726_45307.77761165686,9
23431.444278543928_45294.78805390784,9
23434.342504402586_45306.11720233602,9
23436.261168536537_45293.12645395721,8
23439.053612565345_45304.60679111682,9
23441.112505081932_45291.64490997243,8
23443.855749477_45303.24637799924,8
23445.998288180104_45290.34342195349,9
23448.73661473438_45302.039999301574,8
23450.9431181932_45289.16835470472,9
23453.696208337486_45300.9876550238,9
23455.94699512121_45288.119708226106,0
23457.883329009022_45300.227907667024,0
23460.960717281876_45287.24136195731,0
23461.29797674899_45299.76075723124,0
23464.712624488955_45299.293606795465,0
23465.9842846752_45286.53331589834,0
23468.909595377543_45298.89036780671,0
23470.99309628536_45286.011566790956,0
23473.888889414746_45298.55104026497,0
23475.987152112368_45285.67611463517,0
23478.910009709278_45298.34616144997,0
23480.932009952667_45285.509340422526,0
23483.97295626114_45298.27573136172,0
23485.827669806255_45285.51124415304,9
23488.23308296362_45298.28678287101,0
23490.745474018397_45285.6021546168,9
23491.690389816715_45298.37931597786,9
23495.147696669817_45298.47184908471,9
23495.68542258909_45285.78207181381,9
23498.605005198082_45298.59211512145,9
23500.63275393958_45286.005524292406,9
23502.062315401512_45298.74011408809,9
23505.519625604946_45298.88811305473,9
23505.58746806987_45286.27251205259,9
23509.814203194484_45299.04752431089,9
23510.576625763315_45286.54127104244,9
23514.946048170124_45299.21834785657,9
23515.600227019913_45286.811801261996,9
23519.996710530937_45299.3995700192,9
23520.591848295746_45287.09044967541,9
23524.96619027692_45299.5911907988,9
23525.55148959081_45287.37721628271,9
23529.920910720695_45299.776958549846,5
23530.501292021145_45287.66800450435,9
23534.860871862264_45299.95687327235,9
23535.441255586757_45287.96281434034,9
23539.264544309008_45300.11578568937,9
23539.4950203598_45288.19556186661,8
23542.662586340277_45288.36624708317,8
