id,cluster
31273.54043441086_36076.17248208863,5
31278.054978305416_36073.00046478619,5
31282.303542515365_36070.09855501186,5
31286.490569780115_36067.276054338894,5
31290.61606009967_36064.53296276732,5
31291.74288255944_36106.962879064995,2
31294.71447406226_36061.8848931306,9
31294.982217675148_36108.076616870865,11
31298.78581166788_36059.33184542872,5
31299.72795233217_36109.72931875446,6
31302.97447170468_36057.6213648626,5
31304.49337955038_36111.44910408268,2
31307.28045417266_36056.75345143221,9
31309.278499329765_36113.235972855575,6
31311.58643664064_36055.88553800182,5
31314.02915950747_36115.03292105674,2
31315.807064732144_36056.99313410136,5
31318.745360083496_36116.8399486862,2
31319.94233844718_36060.076239730806,5
31323.503409732948_36118.46491094558,2
31323.750227161_36063.73040918642,4
31327.2307308736_36067.95564246818,4
31328.303308455834_36119.90780783488,11
31330.622623249328_36072.02723151022,4
31333.152439556634_36121.27334417675,2
31333.92590428818_36075.94517631252,4
31337.214417663727_36079.805894073164,4
31338.05080303536_36122.5615199712,11
31340.48816337598_36083.609384792144,6
31342.959012177038_36124.00181931522,2
31343.734833693707_36087.37350594156,6
31346.954428616915_36091.09825752141,6
31347.877066981673_36125.59424220883,4
31350.32663707945_36094.83004184569,11
31352.908351992854_36127.21763772444,8
31353.851459081314_36098.56885891441,2
31357.307360268787_36102.26656968439,4
31358.052867210576_36128.87200586206,8
31360.694340641858_36105.923174155614,4
31363.390312764175_36225.565444275286,2
31363.492772119615_36129.908054141386,8
31363.958246640526_36109.57258077324,9
31367.09907826478_36113.21478953724,8
31367.269977452554_36226.86373599386,7
31369.228066719963_36130.32578256243,8
31372.25203622182_36228.53486368643,3
31373.42987129225_36128.716647612804,8
31373.9442875578_36131.794851383216,8
31374.34412711171_36244.51408849345,8
31377.21686611521_36230.200160984095,3
31377.641434633115_36134.31526060375,8
31379.080031041503_36246.05086212143,4
31380.203853929277_36134.8084947479,4
31382.164467132723_36231.85962788685,1
31382.458576583515_36136.05253654906,4
31383.811017484106_36247.58637401869,4
31385.360640549305_36140.09930986151,4
31387.089916769677_36233.4698116258,1
31388.08301468941_36144.17083195184,4
31388.537086439523_36249.12062418525,5
31390.441083338595_36148.47963448439,6
31391.993215026065_36235.030712200954,12
31392.43484649685_36153.025717459175,11
31393.263157015914_36250.63906297723,5
31394.42860910834_36157.63109565976,7
31396.422371173074_36162.29576908612,7
31396.88666888254_36236.583763574,3
31397.989229213286_36252.14169039465,5
31398.460440044866_36167.00169652777,3
31400.542815723722_36171.748877984675,3
31401.7702783391_36238.12896574495,7
31402.77930261724_36253.59849291718,0
