id,cluster
16002.839016383536_34341.369570990835,8
16003.54766767178_34347.46042583087,8
16004.278898068766_34349.43696203682,8
16005.317867708483_34342.43788373737,8
16005.554084804564_34344.468168684056,8
16007.747775995522_34350.39777730193,8
16011.216653922278_34351.35859256702,8
16013.942020590373_34350.65130928684,9
16015.923875999806_34348.27592746138,9
16018.414824234873_34347.6912100599,9
16021.41486529557_34348.89715708241,9
16023.709352209557_34354.2707386806,9
16024.414906356267_34350.103104104914,9
16024.585656709962_34356.05998404649,9
16025.179735327598_34351.894297970975,9
16027.80864882881_34357.262034068655,9
16031.03164094766_34358.464084090825,9
16033.865227775437_34358.218081332365,9
16036.30940931214_34356.52402579328,9
16038.279090397566_34356.857482711566,9
16039.774271031707_34359.218452087225,9
16041.269451665852_34361.579421462884,9
16043.086675911854_34361.93746174763,9
16045.225943769721_34360.29257294144,9
16047.439039521338_34359.96574238469,9
16049.72596316671_34360.95697007735,9
16052.497316981886_34362.044291159655,9
16055.753100966867_34363.227705631594,9
16059.00888495185_34364.411120103534,9
16062.328588801134_34365.23572615105,9
16065.712212514716_34365.701523774114,9
16069.095836228298_34366.167321397195,9
16072.353199744999_34365.89849195117,9
16075.484303064815_34364.89503543606,9
16078.615406384633_34363.89157892095,9
16081.825197749149_34362.8520965351,9
16085.113677158362_34361.77658827851,9
16088.402156567578_34360.70108002192,10
16090.833213885267_34358.582766044674,10
16092.406849111434_34355.42164634677,10
16093.9804843376_34352.26052664886,10
16095.445922280252_34349.082891843165,10
16096.803162939392_34345.88874192968,10
16098.160403598531_34342.6945920162,10
16098.899591511763_34339.0558908145,10
16099.020726679091_34334.97263832459,10
16099.14186184642_34330.889385834664,10
16099.979402549854_34327.057737271534,10
16101.533348789397_34323.47769263519,10
16103.08729502894_34319.897647998856,10
16104.614206673352_34316.64852934351,10
16106.114083722636_34313.73033666917,10
16107.613960771918_34310.81214399483,10
16109.113837821202_34307.89395132049,10
16134.33205707029_34177.192295054796,10
16137.940303677022_34177.9744056273,10
16141.520682760036_34178.76062695129,10
16144.328317478286_34165.377415537274,10
16145.10106184305_34179.546848275284,10
16147.825092925425_34166.215830884095,10
16148.668327637446_34180.33973244029,10
16150.834977041253_34166.9400484985,10
16152.222480143224_34181.13927944633,10
16153.844861157086_34167.66426611291,10
16155.776632649002_34181.93882645236,10
16156.854745272914_34168.388483727314,10
16159.360295342689_34182.751384053496,10
16159.886762032818_34169.11652935094,10
16160.302851196353_34527.744425885205,10
16162.10619303702_34526.60986440508,10
16162.940911436795_34169.848402983785,10
16162.973468224282_34183.57695224973,10
16164.32094993361_34525.2147732466,10
16165.995060840773_34170.58027661664,10
16166.586641105878_34184.402520445954,10
16166.947121886124_34523.55915240976,10
16169.04921024475_34171.31215024948,10
16169.85853526436_34521.75365642657,10
16170.21293045233_34185.235920907544,10
16172.091065523235_34172.04014003099,10
16172.575691047272_34520.06589331615,10
16173.852336263639_34186.0771536345,10
16174.813347809135_34518.64573822485,10
16175.120626676231_34172.76424596117,10
16176.969859622815_34517.28930082152,10
16177.491742074948_34186.91838636145,10
16178.150187829226_34173.48835189135,10
16179.045226488315_34515.99658110616,10
16181.152461165495_34187.767404995335,10
16181.179748982222_34174.21245782152,10
16181.39599682477_34514.50659956531,10
16184.022170632175_34512.81935619899,10
16184.21054102032_34174.94050995722,10
16184.834493535278_34188.62420953614,10
16186.13196033314_34511.421673614095,10
16187.242563943522_34175.672508298434,10
16188.243390580832_34510.03386712535,10
16188.516525905061_34189.481014076955,10
16190.274586866724_34176.40450663965,10
16190.872845481694_34508.36637595129,10
16192.242822672033_34190.34679247789,10
16193.306609789926_34177.13650498087,10
16193.502300382555_34506.69888477724,10
16195.86946619866_34505.20288412662,10
16196.013383836193_34191.22154473896,10
16196.352159384838_34177.886216442756,10
16197.974342930007_34503.87837399945,10
16199.41123565146_34178.6536410253,10
16199.783945000352_34192.096297000026,10
16200.325116025879_34502.37851462289,10
16202.47031191808_34179.421065607865,10
16202.921785486276_34500.703305996954,10
16203.625000130702_34192.97328595713,10
16205.159444931902_34499.23571727202,10
16205.529388184701_34180.18849019041,10
16207.536549227238_34193.85251161027,10
16207.721687671194_34497.533030816005,10
16208.582318491233_34180.96583261226,10
16210.73146595748_34495.604433708824,10
16211.448098323774_34194.73173726341,10
16211.629102837676_34181.75309287339,10
16213.505186482316_34493.892643582585,10
16214.675887184121_34182.54035313452,10
16215.359649090347_34195.614916051716,10
16216.564152413452_34492.096213617544,10
16217.722671530564_34183.32761339565,10
16219.271201526957_34196.502047975184,10
16219.908363750887_34490.21514381372,10
16220.775604902205_34184.119780379675,10
16222.701769659361_34488.77010873598,10
16223.182753963567_34197.38917989865,10
16223.834687299044_34184.916854086594,10
16224.944370138872_34487.76110838434,10
16225.93151307053_34196.46734492207,10
16226.893769695882_34185.713927793506,10
16227.066438571177_34198.27251602128,10
16227.517478847847_34193.736543045445,10
16227.752540803578_34486.535412379926,10
16229.103444625165_34191.00574116882,10
16229.952852092722_34186.511001500425,10
16230.689410402481_34188.27493929219,10
16230.849243341781_34485.395059723574,10
16230.92225534979_34199.15205634308,10
16233.66890756829_34484.55674606803,10
16234.778072128402_34200.031596664885,10
16236.488571794798_34483.7184324125,10
16237.596099740458_34199.18547003201,10
16238.615857424687_34200.912556603536,10
16239.37633818596_34196.61367644447,10
16239.918085153007_34483.01108323831,10
16241.156576631465_34194.041882856916,10
16242.435611238647_34201.79493615904,10
16242.936815076968_34191.47008926937,10
16243.957447642919_34482.43469854547,10
16246.255365052606_34202.67731571455,10
16247.996810132832_34481.85831385263,10
16249.169711145285_34201.91596876482,10
16250.037414908375_34203.55990840349,10
16251.178649516682_34199.51089530985,10
16251.634542072277_34481.559634379046,10
16253.187587888076_34197.10582185489,10
16253.781760805949_34204.442714225865,10
16254.870643461258_34481.538660124716,10
16255.196526259473_34194.700748399926,10
16257.526106703524_34205.32552004823,10
16258.106744850238_34481.51768587039,10
16261.25242027592_34206.19261460222,10
16261.682207756152_34481.77812442083,10
16264.960701523134_34207.04399788784,10
16265.597032179003_34482.31997577602,10
16268.66898277035_34207.895381173454,10
16268.834164703156_34198.65167593823,10
16269.509748179476_34202.51943468944,10
16269.511856601854_34482.861827131215,10
16270.185331655797_34206.387193440656,10
16272.347756533665_34208.741660195155,10
16273.10700781535_34483.44568411667,10
16275.997022813077_34209.58283495294,10
16276.382485819491_34484.07154673238,10
16279.616162302347_34484.735204660516,10
16279.646289092492_34210.424009710725,10
16280.561099169889_34557.97938041042,10
16280.798393165092_34201.709731211726,10
16281.067404791935_34205.363677562884,10
16281.336416418777_34209.01762391404,10
16282.80803726392_34485.43665790107,10
16282.911876671664_34556.27984702059,10
16283.290638795814_34211.270483210836,10
16285.311812352533_34554.03641750816,10
16285.994992603533_34486.0867431231,10
16286.930071923047_34212.122255453265,10
16287.537158673575_34551.85723660171,10
16289.17702832119_34486.68546032661,10
16289.587915634791_34549.742304301224,10
16290.56950505028_34212.974027695695,10
16291.454253610773_34547.849819075156,10
16292.433410380645_34211.65363072875,10
16292.521787914142_34208.16106455245,10
16292.610165447639_34204.66849837614,10
16292.686123155429_34487.39302269738,10
16293.136172601528_34546.17978092351,10
16294.223694076929_34213.83230516695,10
16295.300054139767_34544.236191570715,10
16296.52227710625_34488.20943023541,10
16297.892639002996_34214.69708786704,10
16297.945898225491_34542.019051016774,10
16299.910878436778_34488.88407034741,10
16300.183561255495_34540.29644516412,10
16301.56158392906_34215.56187056712,10
16302.013043229774_34539.06837401276,10
16302.851927147012_34489.41694303339,10
16303.582873369854_34214.31701306251,10
16303.956507325376_34210.962515353196,10
16304.022028156487_34537.649514609984,10
16304.330141280898_34207.608017643885,10
16305.251842213624_34216.43180363811,10
16305.67494265213_34489.968275451785,10
16306.21051603563_34536.03986695582,10
16308.084235877363_34534.204674704386,10
16308.379924952127_34490.53806760258,10
16308.963413856687_34217.306887080005,10
16309.643187681679_34532.14393785569,10
16311.007867020187_34529.90837015386,10
16311.129170360415_34491.09970180225,10
16312.178273892881_34527.497971598896,10
16312.674985499747_34218.1819705219,10
16313.262610988777_34525.01689847602,10
16313.922678876992_34491.65317805079,10
16314.26087830787_34522.465150785225,10
16314.829068176636_34216.99961396025,10
16315.24439156316_34519.91744189529,10
16315.425661887348_34213.75981739507,10
16316.022255598062_34210.520020829885,10
16316.213150754647_34517.37377180621,10
16316.398031917017_34219.00559617742,10
16316.44078363276_34492.439496388324,10
