id,cluster
27926.042674355005_37545.65941948763,4
27928.180301073506_37542.46179583206,4
27930.484500900366_37539.096099701856,4
27932.95527383559_37535.56233109702,4
27935.42604677081_37532.02856249218,6
27938.77537304804_37528.82584251631,6
27943.003252667266_37525.95417116938,6
27947.233594518795_37523.20903047965,6
27951.466398602628_37520.5904204471,4
27955.64506338309_37517.893037246824,4
27959.76958886018_37515.116880878806,4
27964.20173267326_37512.912339890485,4
27968.94149482232_37511.27941428186,4
27973.06520399794_37510.61098103864,4
27976.57286020012_37510.90704016082,4
27980.080516402304_37511.20309928301,6
27983.47497061058_37512.119341239944,11
27986.75622282495_37513.65576603163,11
27990.037475039324_37515.19219082331,11
27991.653787748834_37660.340254708724,9
27993.67146296721_37517.412010626074,6
27994.255626525955_37656.26978647309,9
27996.74517974286_37652.09814283377,4
27997.658186608613_37520.3152254399,11
27999.12244739955_37647.82532379078,5
27999.59718164179_37674.504981226615,0
28001.285613654087_37523.7682108953,6
28001.3126839931_37643.42704737199,5
28003.194183132306_37673.070387048196,0
28003.315889523503_37638.90331357741,8
28004.55374410363_37527.77096699225,4
28005.25018904166_37634.24948448491,8
28006.79118462282_37671.635792869776,0
28007.11558254757_37629.46556009449,8
28007.307538060537_37532.06339991557,4
28008.95882787264_37624.65013347979,8
28009.546995524805_37536.64550966526,4
28010.779925016875_37619.803204640804,8
28011.52559325938_37541.25681421168,4
28012.181021524302_37615.67382181881,8
28013.162117394917_37612.261985013814,8
28013.243331264253_37545.89731355486,4
28014.143213265535_37608.85014820882,8
28014.798647133284_37550.59411966453,4
28015.012746550776_37604.79701301741,8
28015.77071725065_37600.10257943959,8
28016.191540866457_37555.347232540706,4
28016.45239875649_37595.35125244915,8
28017.057791068302_37590.543032046095,8
28017.343262186223_37560.172926423176,4
28017.633652084918_37585.57285399119,8
28018.179981806334_37580.440718284415,8
28018.253811092567_37565.07120131194,4
28018.517131386718_37575.286072512354,8
28018.645100826066_37570.108916675,8
28032.22210959492_37730.61881250613,8
28036.93564390406_37728.94354282518,8
28038.068220579225_37743.63341894455,8
28041.218512041654_37727.60042106615,8
28042.336599665487_37741.269011055585,8
28045.070714007692_37726.589447229024,0
28046.279036196425_37738.70729744538,8
28048.68338154437_37735.36753161246,8
28048.763786856725_37655.177352928404,9
28048.922915973737_37725.5784733919,8
28049.549635709325_37731.24971355681,8
28050.41588987428_37727.13189550116,8
28051.995832722492_37653.89581577467,9
28052.53722748163_37725.539075569104,8
28055.22787858826_37652.614278620924,9
28055.913648531376_37726.471253760625,8
28059.066139579143_37650.98980012113,9
28059.290069581122_37727.40343195216,8
28061.02503848055_37726.358590374155,0
28061.11855522966_37723.336729026625,0
28063.44169261749_37721.00982446195,0
28063.51061569514_37649.0223802753,9
28067.994450644044_37719.377876680126,0
28068.484169339754_37759.73982952826,9
28070.83683676581_37764.107932498824,9
28070.915598218293_37720.72528856654,0
28072.24291435129_37557.71975882455,9
28072.416779631036_37717.7091170738,0
28073.12059778796_37768.59112309498,9
28075.335452406205_37773.18940131672,9
28075.45856024197_37556.040274991385,9
28076.70867957847_37716.00354564296,0
28077.27304022934_37777.32264196634,9
28078.67420613265_37554.36079115822,9
28078.933361257365_37780.99084504384,9
28080.59368228539_37784.65904812134,9
28080.606827587304_37716.41596519868,0
28082.116190229488_37788.119774817475,9
28082.440286590216_37552.78687030085,9
28083.500885089663_37791.373025132234,9
28084.111223657535_37718.94637574095,0
28084.885579949834_37794.62627544699,9
28086.515549711454_37798.45417008171,9
28086.75680161466_37551.31851241927,8
28088.39079437452_37802.85670903639,9
28090.357094483537_37807.37538676149,9
28091.213592440636_37549.82363972431,8
28092.41445003851_37812.01020325703,9
28094.469344833495_37816.619332564704,9
28095.810659068135_37548.30225221599,8
28096.521778868497_37821.20277468454,9
28098.559447386928_37825.80212511613,9
28099.639885037755_37611.37637254542,8
28100.48647784433_37546.73691108975,8
28100.582350388784_37830.4173838595,9
28102.580644056736_37834.96753671455,9
28103.508510179756_37610.44180193811,8
28104.554328390786_37839.45258368127,9
28105.241048769218_37545.127616345606,8
28107.278657206487_37710.139723987544,10
28107.377135321756_37609.5072313308,8
28110.030074682334_37543.5141688944,8
28110.28102612799_37707.26316372682,10
28111.514006527497_37608.09195521761,8
28113.67255633226_37406.99048807045,2
28113.89617396934_37705.57931583529,10
28114.292322175548_37862.223350898224,9
28114.85355558368_37541.896568736134,8
28115.768894907218_37865.61321067595,9
28115.919123796983_37606.19597359856,8
28117.24546763889_37869.00307045366,9
28118.124100730536_37705.08818031293,10
28119.00751128009_37873.07676392737,9
28119.652428472684_37540.29097543923,9
28120.35623492042_37604.26817223786,8
28121.055025830818_37877.83429109708,9
28121.391434627603_37703.198736281964,10
28123.092696764266_37882.53849062053,9
28123.69817566053_37699.91098374238,10
28124.426693349353_37538.697389003675,8
28124.825339897812_37602.30855113552,8
28125.120524080437_37887.18936249773,9
28126.00491669346_37696.6232312028,10
28126.702309212113_37436.67675832708,9
28128.113259715123_37439.879529608705,9
28129.10006029191_37537.13997745549,8
28129.235383251227_37600.20888925526,8
28129.524210218133_37443.08230089034,9
28130.94008279165_37446.29690966207,9
28131.81115496363_37672.13986067045,9
28132.360877435676_37449.5233559239,9
28133.586364980663_37597.96918659706,8
28133.672529300362_37535.61874079467,8
28133.7816720797_37452.74980218573,8
28134.65930907253_37670.109180272826,9
28135.108725356356_37909.74137126617,9
28135.503524423282_37456.72583922018,8
28136.95280253696_37913.95171964815,9
28137.507463181424_37668.0784998752,9
28137.526434466425_37461.45146702723,9
28137.934887064297_37595.71368208506,8
28138.434493867408_37534.34949186814,8
28138.79687971756_37918.16206803013,9
28139.433679499387_37465.92666527166,9
28140.70330133955_37922.555296593586,9
28140.97414036347_37665.752261837595,9
28141.22525952217_37470.15143395347,9
28142.280949502125_37593.442375719256,8
28142.672067402913_37927.131405338514,9
28143.019300554508_37474.579842440275,9
28143.385953993056_37533.33223067592,8
28144.365206347364_37931.11721933994,9
28144.815802596408_37479.21189073208,9
28145.059340618667_37663.13046616001,9
28145.782718172897_37934.51273859785,9
28146.60738286314_37483.85188037494,9
28146.678693513066_37591.21427124165,8
28147.062553063453_37685.73559399459,10
28147.20022999843_37937.90825785576,9
28147.812410244693_37531.74198097042,4
28148.39404135471_37488.49981136886,9
28148.599694966975_37941.210288439346,9
28149.132237298058_37660.44151698057,9
28149.98111307853_37944.4188303486,9
28151.039471649412_37685.298645879084,10
28151.128119097117_37589.029368652264,8
28151.36253119009_37947.62737225786,9
28151.713862622317_37529.57874275165,4
28152.23085887351_37370.22552163018,6
28153.0671554016_37951.58083798511,9
28153.192830401647_37657.68541429929,9
28153.574440119668_37372.94388119417,11
28155.016390235367_37684.861697763576,10
28155.094985713054_37956.27922753035,9
28155.61531499994_37527.41550453288,8
28155.67352373637_37586.96847798994,8
28155.78930856086_37377.39151499043,2
28156.877342215557_37960.33119338822,9
28157.327253740754_37654.78256903564,9
28157.59712302794_37682.73238053099,10
28158.001716288556_37381.82928087868,11
28158.78167002713_37678.910694181344,10
28158.97371482637_37525.75234905137,8
28159.966217026315_37675.089007831695,10
28160.211663302747_37386.257178858934,11
28160.31490743082_37585.03159925468,8
28161.535507315373_37651.73298118962,9
28161.789062101605_37524.58927630712,8
28162.2073387742_37672.07320520901,10
28162.46590797304_37390.73227597987,11
28164.36077232423_37526.17395788439,8
28164.764450299423_37395.25457224151,4
28164.983363295916_37583.001635381195,8
28165.50503527078_37669.863286313295,10
28165.726535280766_37648.857494993215,9
28166.688845494256_37530.5063937832,8
28167.043305187246_37399.719648510996,4
28169.218718520635_37534.73089556606,8
28169.302472636507_37404.12750478835,4
28169.67889133166_37580.87858636948,8
28169.90033763693_37646.156110446405,9
28171.950391403363_37538.84746323299,8
28174.736206030386_37542.94394825329,8
28177.57616240169_37547.02035062697,8
28180.44565085517_37551.13217484328,8
28183.34467139082_37555.279420902225,8
28186.910616252622_37558.80591571549,8
28189.322452096214_37438.02090845314,9
28190.720148782075_37632.208581724226,9
28191.143485440578_37561.7116592831,8
28191.724358732463_37442.30538483276,9
28192.22631076748_37564.507117146975,8
28192.792332006975_37567.84535056233,8
28192.977031319733_37389.8638751425,9
28194.13584147316_37331.8869507154,9
28194.182868091593_37446.57174252196,9
28194.815207543004_37629.40089651233,9
28195.145026472404_37561.90928889941,8
28195.38386079383_37394.21945878933,9
28195.979288640014_37571.75960643714,8
28196.026100515264_37335.79246219496,9
28196.697980173594_37450.81998152072,9
28197.790690579495_37398.575045823105,9
28198.098355006536_37340.05787332775,9
28198.915239348098_37559.39880456445,8
28198.957025975145_37626.596897623946,8
28199.153940892953_37575.59682351617,8
28200.197520676727_37402.930636243844,9
28200.35260494697_37344.68318411378,9
28202.208005914978_37579.53755705791,8
28202.62654301486_37349.274773776444,9
28202.6854522238_37556.88832022949,8
28202.69786827062_37407.111699468995,9
28203.145604078494_37623.79658505908,8
28204.920169210207_37353.832642315734,9
28205.141483706084_37583.58180706236,8
28205.225109576808_37646.49132476709,10
28205.291733361177_37411.118235498565,9
28206.65741531783_37621.22296378461,8
28206.795280848197_37554.540640965446,8
28207.622143067027_37587.06912420117,8
28207.97173300527_37415.16975087878,9
28209.428454761484_37644.03890922354,10
28209.492459693152_37618.87603380054,8
28209.649983997806_37589.99950847434,8
28210.737867202894_37419.266245609644,9
28211.244725221295_37552.35576677232,8
28211.67782492859_37592.92989274751,8
28212.327504068475_37616.529103816465,8
28213.653950006257_37641.57252671762,10
28213.784416710885_37596.66851337068,8
28214.29792699038_37613.37783215876,8
28215.40372845887_37609.42221882742,8
28215.63756861734_37550.07829286861,8
28215.969759344694_37601.21537034383,8
28216.509529927356_37605.46660549608,8
28217.901595311134_37639.0921772493,10
28219.973811036325_37547.70821925431,8
28220.183040755604_37489.72556189897,4
28222.144319925665_37636.62174466272,10
28222.82120514368_37494.07593504024,4
28224.278062145862_37545.19992800312,8
28225.44460410148_37498.35719508353,4
28226.38212384985_37634.161228957855,10
28227.383621646804_37776.58700272323,10
28228.053237629018_37502.56934202883,4
28228.550321945942_37542.55341911505,8
28230.66914866658_37631.63913564217,10
28230.69878623112_37506.755574876195,4
28231.26239497061_37454.34506098646,8
28232.140071251833_37540.13824169699,8
28232.158326274086_37297.01498555093,8
28233.3812499078_37510.91589362563,8
28233.831654045945_37458.68789179989,8
28235.00539437586_37629.05546471564,10
28235.047310063535_37537.95439574893,8
28235.79546725605_37515.01054343366,8
28236.376348996484_37410.97408531003,8
28236.4525940626_37463.05613030542,8
28236.538871032746_37299.54409485709,8
28237.941438275884_37519.03952430029,8
28237.954548875237_37535.77054980087,8
28238.68127821711_37626.858546739546,10
28239.034204473704_37415.43894936327,8
28239.125215020573_37467.44977650305,8
28240.08740929571_37523.06850516693,8
28240.786318822367_37533.104704524274,8
28240.92926085055_37302.142346608045,8
28241.69680019033_37625.04838171387,10
28241.72651410097_37419.88582322901,8
28241.73877286014_37471.744908616056,8
28243.040582625916_37526.73296660841,8
28243.54261990493_37529.95685991913,8
28244.2932675813_37475.94152664445,8
28244.45327787828_37424.31470690725,8
28244.712322163556_37623.23821668819,10
28245.329495727507_37304.8097408038,8
28246.732143851226_37428.07263118394,4
28246.76486769822_37526.84191226645,8
28246.803464980534_37480.16806179675,8
28247.718001179426_37621.442610117236,10
28247.756022116482_37307.830580040216,4
28248.141930693728_37817.213330615225,9
28248.56311201981_37431.159596059064,8
28249.269365057837_37484.42451407297,8
28250.011922049172_37310.48795934579,4
28250.084065313524_37359.393578955955,9
28250.394080188387_37434.2465609342,8
28250.45306220225_37523.759861566214,4
28250.71383723794_37619.661562001,10
28250.863769810327_37821.298532738685,9
28251.89769027994_37488.7452770756,8
28251.98394185409_37362.5170096543,9
28252.284112182533_37437.392501736045,4
28253.21446692487_37327.273592686266,4
28253.709673296464_37617.88051388476,10
28253.870263251665_37825.04264508272,9
28253.883818394657_37365.640440352654,9
28254.07090401354_37312.42843367986,4
28254.141256706273_37520.677810865986,4
28254.233208002242_37440.5974184646,4
28254.68844064684_37493.13035080464,8
28255.480627910736_37757.92049983669,8
28256.130693478637_37369.34775864263,9
28256.18230382195_37443.80233519315,4
28257.16141101774_37828.44566764732,9
28257.353569376664_37615.7378344497,10
28257.393057039604_37497.452656045294,8
28257.732832629823_37329.3669496479,4
28257.94922001101_37517.95096620007,4
28258.09366495649_37446.911250544224,4
28258.129885977913_37314.368908013916,4
28258.724567106037_37373.638964524245,9
28259.944849846943_37755.47440850591,8
28259.967291405854_37449.92416451781,4
28260.01153945824_37501.71219279756,8
28260.452558783814_37831.84869021191,9
28261.645525478547_37613.2335236958,10
28261.740786917824_37505.60055235352,8
28261.840917855214_37452.9370784914,4
28261.876952116465_37515.579327568485,8
28261.878772370073_37329.64614816682,4
28262.268442277484_37315.14901791967,4
28262.58079941837_37509.11773471319,8
28263.420811918917_37512.63491707286,8
28263.876969354762_37456.22454164631,4
28264.253952980984_37833.24900992466,9
28264.369697446687_37753.03645667872,8
28265.652286145618_37328.11118824304,4
28265.910412050307_37610.745189736204,10
28266.075445904495_37459.78655398253,4
28266.486572912254_37314.76876339711,4
28268.273922454227_37463.34856631876,4
28268.565593609244_37832.64662678556,9
28268.755170709985_37750.60664435512,9
28269.425799921166_37326.57622831925,4
28270.148229091938_37608.27283257091,10
28270.29848986439_37466.7204606825,8
28270.3381603183_38060.8459764647,10
28270.598881114915_37315.51409590242,4
28272.14914813498_37469.90223707377,4
28272.329257305417_37831.3949017571,9
28272.445513967734_38059.515751853,10
28272.63657004939_37323.93668006857,4
28272.944189692476_37327.72700674901,4
28273.18494298678_37748.2477600472,9
28273.245228816897_37349.147358262475,4
28273.999806405576_37473.08401346504,8
28274.227986156293_37346.64654782057,4
28274.37620346264_37605.77680770548,10
28274.605366885473_37317.385015435604,4
28275.023699376754_37352.19766893969,4
28275.284596530295_37320.19254349099,4
28275.40197475958_38057.494785125324,10
28275.544944069494_37829.49383483929,9
28275.855386987423_37476.22094792401,8
28276.207455459546_37331.56352353231,4
28276.80216993661_37355.24797961691,4
28277.659014277087_37745.959803754944,9
28277.71588988052_37479.313040450696,8
28277.971971394938_37344.69523761398,4
28278.358435551432_38055.47381839763,10
28278.47827991772_37249.70774316772,4
28278.594335162423_37603.25711513992,10
28278.597047386716_37358.275790431995,4
28278.760630833574_37827.59276792148,9
28278.811194422553_37318.67944388013,4
28279.276303570543_37335.553404519,4
28279.576392773626_37482.405132977365,8
28280.40833172707_37361.28110138496,4
28281.441817940373_37485.489290790996,8
28281.493101167256_37867.98783259337,10
28281.71595663359_37342.74392740739,4
28281.96155262304_37825.84733831861,9
28282.150734025454_37339.69664970906,4
28282.219616067425_37364.28641233792,4
28282.236448308002_37743.74243294137,9
28282.31817228709_37252.388899747224,6
28283.21636372617_37319.397381236005,4
28283.31216538076_37488.56551389159,8
28284.1014490173_37367.30449872212,4
28284.136193684524_37872.20007724415,10
28284.801042838903_37507.98672891746,8
28284.887349331282_37343.99490998867,4
28285.147709437893_37824.25754603067,9
28285.182512821157_37491.64173699217,8
28286.053830576697_37370.33536053756,4
28286.59044811924_37255.08864116438,6
28286.917245079523_37741.595647606475,9
28286.923248302228_37494.8557976371,8
28287.48614948802_37348.44818535782,4
28287.547705790737_37318.969021528734,6
28288.006212136093_37373.36622235301,4
28288.333866252746_37822.66775374273,9
28288.534371823982_37498.20769582637,8
28288.90105235071_37504.81927171267,8
28289.432887877316_37258.79111695762,4
28289.94054676925_37376.38400994934,4
28290.145495345732_37501.55959401564,8
28290.845491561315_37263.49632712692,2
28291.568511446945_37739.52812678241,9
28291.80522061627_37317.39436475833,4
28291.85683447616_37379.38872332654,4
28291.960315272525_37268.33770284132,11
28292.18367045487_37820.76037901214,9
28292.42051518659_37273.388484889154,11
28292.523871276313_37278.51250772534,2
28292.56546753236_37501.915326528266,8
28292.762565199162_37299.09072700745,4
28292.959439130576_37304.04420741323,6
28293.276901579473_37309.04246980537,11
28293.294176911768_37264.547830509204,11
28293.312191036737_37294.99165850019,4
28293.569788254168_37282.52589360215,11
28293.714952545844_37314.08551418387,2
28293.773122183065_37382.39343670376,4
28294.084096949307_37318.02375660783,4
28294.384334789866_37320.857197077225,4
28294.6083166433_37291.74700189143,4
28294.90688182806_37323.978672728525,4
28295.26659443787_37229.897616690476,8
28295.558266120155_37285.42864251958,11
28295.651738063898_37327.38818356173,4
28295.79428838387_37499.27489336423,8
28295.904442249866_37288.50234528268,6
28296.190247410264_37737.53987046918,9
28296.299738956368_37382.84543421494,4
28296.396594299735_37330.79769439493,4
28296.458821277873_37439.09837063793,9
28296.697122044265_37818.53542183891,9
28296.77894392868_37261.945627104455,11
28297.60083502627_37334.818778003006,6
28297.935198121493_37231.70797168882,8
28298.315547559458_37893.861485935,9
28298.71308557484_37441.890268047195,9
28299.062717868568_37286.468118306555,11
28299.264460243507_37339.45143438596,4
28299.436684796066_37380.74471586011,4
28299.62851385145_37496.621073921735,8
28300.071227195218_37735.61918168785,9
28300.081474647286_37371.0332602866,4
28300.30730280961_37896.86870203217,9
28300.3239876144_37646.109300619835,10
28300.38347868369_37260.838067355915,4
28300.837972078887_37233.481910667644,8
28300.852283939843_37642.72514340728,10
28300.962539555552_37343.98108538601,6
28300.96734987181_37444.682165456456,9
28301.176121208016_37816.30868891983,9
28301.882610519824_37649.340332020976,10
28302.29905805976_37899.87591812933,9
28302.573630635765_37378.64399750528,4
28302.69507296241_37348.40773100314,6
28302.78856058617_37375.406845647434,4
28303.062470398534_37447.54352702022,9
28303.21145080181_37733.766060438415,9
28303.441233425245_37652.5713634221,10
28303.467499496153_37639.18786038332,10
28303.97491631005_37235.21943362695,8
28304.068143935103_37493.95386820078,8
28304.07260643835_37902.506066366914,9
28304.083143499403_37285.64432096305,11
28304.1077811768_37261.22515126357,6
28304.52358531308_37352.78242029053,11
28304.998447155005_37450.4743527385,9
28305.19481968669_37900.12276742679,9
28305.586703861496_37379.62766830136,4
28305.62066794612_37814.080180254896,9
28305.62794794537_37904.75914674491,9
28306.08271505246_37635.65057735934,10
28306.3516744084_37731.91293918897,9
28306.44807660756_37357.10515324817,11
28306.93442391148_37453.40517845678,9
28307.11186054121_37236.95695658626,8
28307.557358444617_37908.17670407444,9
28307.832083669913_37261.61223517124,11
28307.90985682224_37400.88825906586,2
28308.468234943848_37635.48253667715,10
28308.475904473256_37383.695728248334,11
28308.994587690402_37897.60924992454,9
28309.21657966913_37457.07346540661,9
28309.860837936092_37912.75873835549,9
28310.07505999494_37811.87929882604,9
28310.313869645375_37730.21521665446,9
28310.624059170317_37638.68373833674,10
28311.22746189886_37238.26573365187,8
28311.446318465052_37387.666441527064,3
28311.704705980414_37402.43617024689,3
28311.84491442796_37461.479213588005,9
28312.779883396786_37641.88493999632,10
28313.306241891656_37895.719587364605,9
28314.36719512608_37665.83742626915,10
28314.49794583688_37391.53980813754,2
28314.539297354466_37809.70604463324,9
28314.90645849167_37402.16260676146,3
28315.09803651274_37728.672892834875,9
28315.381967930552_37645.10333221923,10
28316.321720383_37239.14576482376,8
28316.722680214138_37394.8623809655,3
28317.195194854954_37391.81551346025,2
28317.51511435601_37400.06756860959,7
28318.083294493976_37663.84655298524,10
28318.120521596837_37397.63416001094,3
28318.129782290456_37894.45377974698,9
28318.43031277162_37648.33891500547,10
28318.57829036878_37377.48645837409,4
28319.00599710275_37807.52882328267,9
28319.53806551927_37388.493557495196,3
28319.80345339969_37726.93329803455,9
28320.556902884593_37400.49879281906,3
28320.706715641747_37660.43640955367,10
28321.450435273167_37239.38700232596,8
28321.478657612686_37651.57449779171,10
28321.56101113343_37381.502568489785,3
28321.880936183596_37385.17160153015,3
28322.237458569394_37655.60699597444,10
28322.82289212115_37892.85257908185,9
28323.475159239788_37805.34763477433,9
28324.03182407741_37403.45627938985,3
28324.430120306242_37724.99643225347,9
28324.63971136459_37385.439040807825,7
28326.613606569357_37238.989446158455,9
28327.385571383726_37890.915985369225,9
28327.455064536745_37406.81344965605,7
28327.63694331808_37600.83381155989,10
28327.81439106226_37389.29587532822,1
28327.97631562395_37803.23151397386,9
28328.69516500376_37605.51372154262,10
28328.884519225674_37722.991361279725,9
28329.360020673044_37287.27569173642,9
28330.826624262594_37410.57030361765,3
28331.238665746696_37889.180585594346,9
28331.717715996903_37238.3174184415,9
28332.509466255222_37801.18046088125,9
28333.16665015799_37720.91808511329,9
28333.96208537758_37287.597071657154,9
28334.233462897897_37411.37375661681,7
28334.382175210052_37887.646379757214,9
28335.1261771493_37255.42843060538,9
28336.7627635558_37237.3709191751,8
28337.08445509796_37799.21023670942,9
28337.52568467341_37886.11217392008,9
28337.594094857064_37627.300767244866,9
28337.67558044265_37409.22380865352,7
28338.594503945893_37288.08830604417,9
28338.6207973326_37253.95575157675,9
28339.47944243892_37447.77974177886,10
28339.528431616287_37631.76604057891,9
28341.117697987404_37407.073860690245,7
28341.482456575905_37636.21340841208,9
28341.610933613938_37235.79091851994,8
28341.701282152164_37797.32084145836,9
28342.112704217005_37452.09054448774,10
28342.115417515895_37252.48307254812,9
28343.25727637798_37288.74939489747,9
28343.456169735924_37640.64287074437,9
28343.82069254103_37408.0118744461,3
28345.461875987763_37645.06621879173,9
28345.784564103527_37412.03784992111,3
28345.815122761327_37250.7508726256,9
28346.262226171322_37233.577416476044,8
28347.487270478723_37649.501321802876,9
28347.920048810065_37289.41048375077,9
28348.331694472028_37414.75158293148,3
28349.50036011698_37653.954294062765,9
28349.714577179584_37568.892502367664,10
28349.71991306889_37248.75915180919,9
28350.83722938588_37231.20223750825,9
28351.08306630204_37434.2560888202,2
28351.46208364654_37416.15307347721,3
28351.513449945647_37658.42308805763,9
28351.87074814541_37309.194215923286,0
28352.313721848182_37314.12650320071,0
28352.905996707_37318.713916965804,0
28353.526539964718_37662.907703787474,9
28353.624703376456_37246.767430992775,9
28353.64757272186_37322.95645721858,0
28353.799837873066_37565.92280760009,10
28353.90503277625_37418.4950496803,3
28354.389148736722_37327.198997471336,8
28354.45181453912_37709.350272673146,9
28354.53830492831_37437.82662197156,2
28355.33594325761_37228.66538161656,9
28355.539630208263_37667.38243696716,9
28355.660541861165_37421.77751154074,3
28355.783710931355_37330.97907786726,0
28356.942837311326_37334.81588418983,0
28357.213541696845_37339.1718762959,0
28357.41605094608_37425.059973401185,2
28357.542619329062_37245.74308329604,9
28357.552720676278_37671.84728759667,9
28357.749088625947_37438.66218477323,2
28357.917092738353_37562.97863420182,10
28358.074757242284_37441.420413209664,2
28358.286053074764_37706.077419520865,9
28358.44813855231_37343.378631419095,0
28358.844476105493_37874.523183605605,0
28360.011581753522_37428.50431972435,2
28360.62855356262_37368.01281536225,0
28360.646627877715_37347.43614955942,0
28360.71541739496_37436.76277722521,2
28361.276170573954_37702.396870930046,9
28361.473660926713_37245.686108718975,9
28361.69242324397_37445.0374625345,6
28362.066341775433_37560.05998217285,10
28362.32291272541_37704.668620965356,9
28362.845117203116_37351.49366769974,0
28363.087799300367_37453.42639665911,6
28363.353024915374_37872.55527979187,0
28363.36343726333_37449.03945701766,6
28363.422167036697_37698.30862690069,9
28363.447134283495_37432.11055051023,2
28363.681746163973_37434.86336967719,2
28364.549753840343_37365.25117225609,0
28364.87448449802_37454.93056829976,6
28365.404702524367_37245.629134141906,9
28365.566159963597_37355.41899697663,0
28365.568163499443_37694.220382871325,9
28366.139300435607_37557.5530332904,10
28366.56239349106_37705.12387700661,9
28367.96493712282_37870.58677798574,0
28368.47095411807_37362.48952914991,0
28368.723492856294_37453.551971939596,4
28368.809756159157_37359.2121373901,0
28368.900969162154_37244.773298219065,9
28370.13596871887_37555.457787554464,10
28370.801874256715_37705.57913304787,9
28371.962460840085_37243.118600950445,9
28372.161637251207_37362.92161483735,8
28372.451909980016_37454.370701263855,4
28372.680212727835_37868.617678187205,0
28372.74969523397_37451.65038131364,6
28373.485077683963_37782.9948734583,10
28373.977380707463_37708.11603184305,9
28374.075215677505_37552.86989376001,10
28375.023952518008_37241.46390368183,9
28375.621803239745_37366.547429318394,8
28376.059735869192_37457.386756272535,4
28376.088912843312_37712.73457339214,9
28376.95309163106_37449.2257964219,4
28377.235524911986_37866.5822781203,0
28377.957041311514_37549.78935190705,10
28378.018242510414_37781.03479223288,0
28378.185679155744_37717.37099997616,9
28379.987496589667_37457.99870735004,4
28380.267679644763_37722.025311595105,9
28381.630873675273_37864.48057778502,0
28381.838866945523_37546.70881005407,10
28382.229017397392_37779.30397112884,9
28384.23519214145_37456.20655449636,4
28385.787506922934_37862.13705108483,0
28386.117402344902_37777.80241014619,5
28388.02622119373_37273.92356902774,9
28388.21955745461_37457.053460472285,9
28389.70542465497_37859.55169801973,0
28389.814275793156_37466.01265497918,9
28390.00578729241_37776.30084916354,5
28390.3360052189_37468.66101774369,9
28390.635848284095_37745.2259903308,5
28391.101159869995_37050.89633111524,8
28391.862437411535_37047.23056513489,8
28391.94059252915_37460.53942527782,9
28392.093559946043_37194.50375811709,9
28392.361192918463_37053.73987537862,8
28392.472165308667_37463.525823446784,4
28392.5019760401_37272.10252248382,9
28392.623714953075_37043.56479915454,8
28392.850744223208_37749.87955594578,5
28393.459964619942_37384.06578579699,9
28393.703856760356_37774.373296377766,5
28393.820223603936_37857.087800108595,0
28393.939540777803_37039.48858118414,8
28394.03735358589_37471.4709117403,9
28395.07794560746_37754.422325752894,5
28395.135371164208_37191.351917313135,9
28395.642536556945_37055.76119792502,8
28395.809914885718_37035.00191122369,8
28396.715053962398_37385.90810653589,9
28396.977730886472_37270.28147593992,9
28397.211610748738_37772.01975178887,5
28397.317452436866_37758.854299752114,5
28397.463719917374_37030.818314262535,8
28397.65338814163_37474.21144040006,9
28398.131903769827_37854.74535735142,0
28398.17718238237_37188.200076509194,9
28398.477373366324_37223.56254404055,9
28398.90095587277_37026.93779030067,8
28398.92388019542_37057.78252047143,8
28399.446214821503_37762.925073790175,5
28399.97014330485_37387.75042727479,9
28400.33819182817_37023.057266338816,8
28400.719364737117_37769.66620719997,5
28401.18410888611_37476.882603722945,9
28401.434967800862_37586.894219993774,9
28401.46423276137_37766.634647867075,5
28401.492043720646_37268.187371585766,9
28401.629941423485_37213.01650385729,9
28401.706222906367_37219.82702565723,9
28401.826693014395_37852.75714114691,0
28401.854119549287_37060.38578659683,8
28402.006515133173_37187.098498913416,9
28402.228254351485_37019.00279719327,8
28402.368250006937_37209.26769970842,9
28402.75707892542_37216.31167892948,9
28403.132788824976_37769.94683546404,5
28403.372675519822_37536.18411904973,10
28404.164519422673_37389.0798538464,9
28404.433254618543_37063.57099630122,8
