id,perceptionId,originX,originY,destinationX,destinationY,translationX,translationY,rotationCCW
0,20498.17389797465_36421.911447703955,20498.17389797465,36421.911447703955,29779.26759024698,33784.657447562204,9281.093692272327,-2637.254000141751,0.0
1,20498.17389797465_36421.911447703955,20498.17389797465,36421.911447703955,29791.74167646654,33724.26874883544,9293.567778491888,-2697.6426988685125,0.0
2,20959.650120409224_36147.80561694685,20959.650120409224,36147.80561694685,29799.96751335941,33681.34510763315,8840.317392950186,-2466.4605093136997,0.0
3,20893.74944953475_35855.470342239605,20893.74944953475,35855.470342239605,29816.29617102822,33591.43844692572,8922.546721493472,-2264.031895313885,0.0
4,20627.4916232904_35226.114697010074,20627.4916232904,35226.114697010074,29905.575546600918,33511.214150161504,9278.083923310518,-1714.9005468485702,0.0
5,21005.041515375277_35596.081992708576,21005.041515375277,35596.081992708576,29936.776484938877,33513.9184578375,8931.7349695636,-2082.163534871077,0.0
6,21158.496569685976_35545.25988696495,21158.496569685976,35545.25988696495,29866.201594068796,33505.57903975502,8707.70502438282,-2039.6808472099292,0.0
7,20514.524202344022_35635.49820662738,20514.524202344022,35635.49820662738,29780.583587679554,33778.2640166068,9266.059385335531,-1857.2341900205793,0.0
8,20418.944578321443_35568.958452552324,20418.944578321443,35568.958452552324,29800.95795430312,33778.18198186967,9382.013375981678,-1790.7764706826565,0.0
9,21182.197685708048_36156.5915553622,21182.197685708048,36156.5915553622,29832.142234411065,33781.618479351,8649.944548703017,-2374.973076011207,0.0
10,20500.845985051677_36451.832438295474,20500.845985051677,36451.832438295474,29952.366328707554,33513.020767328075,9451.520343655877,-2938.8116709673996,0.0
11,20659.2540887639_36489.608537614346,20659.2540887639,36489.608537614346,29828.999938930516,33792.21545047835,9169.745850166615,-2697.393087135999,0.0
12,20655.6137602587_36493.33889187745,20655.6137602587,36493.33889187745,29969.32468639281,33509.77065595295,9313.71092613411,-2983.568235924504,0.0
13,20637.325813265725_35229.1523136745,20637.325813265725,35229.1523136745,29880.3515401606,33500.802011623935,9243.025726894874,-1728.3503020505668,0.0
14,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,29780.244561427833,33808.163935514516,9371.685468628217,-1820.448751632117,0.0
15,20453.177088943266_36408.66555431137,20453.177088943266,36408.66555431137,29790.6785449921,33703.382596120355,9337.501456048834,-2705.282958191012,0.0
16,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,29784.54224520337,33759.29641557157,9375.983152403755,-1869.316271575066,0.0
17,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,29803.4127461868,33764.89308145818,9394.853653387185,-1863.7196056884495,0.0
18,20746.620652919624_35322.93269662645,20746.620652919624,35322.93269662645,29804.709728422094,33655.38783272566,9058.08907550247,-1667.5448639007882,0.0
19,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,29827.416595143808,33532.21372263653,9418.857502344192,-2096.398964510103,0.0
20,20852.376435565602_35317.2475425845,20852.376435565602,35317.2475425845,29835.537242189377,33767.91997000911,8983.160806623775,-1549.3275725753847,0.0
21,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,30117.530687855102,33744.74746703463,9708.971595055486,-1883.8652201120058,0.0
22,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,30159.85432511421,33593.91143089429,9751.295232314595,-2034.701256252345,0.0
23,21287.376142648827_36069.20373696968,21287.376142648827,36069.20373696968,29838.894547199103,33748.84192779647,8551.518404550276,-2320.361809173206,0.0
24,20446.621729159175_35575.05751438117,20446.621729159175,35575.05751438117,30161.978158766517,33526.361422528884,9715.356429607342,-2048.696091852289,0.0
