id,perceptionId,originX,originY,destinationX,destinationY,translationX,translationY,rotationCCW
0,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28211.67782492859,37592.92989274751,7803.118732128973,1964.317205600877,0
1,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28213.784416710885,37596.66851337068,7805.225323911269,1968.0558262240447,0
2,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28214.29792699038,37613.37783215876,7805.7388341907645,1984.7651450121266,0
3,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28215.40372845887,37609.42221882742,7806.844635659254,1980.8095316807885,0
4,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28215.969759344694,37601.21537034383,7807.410666545078,1972.6026831971976,0
5,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28216.509529927356,37605.46660549608,7807.95043712774,1976.8539183494504,0
6,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28224.278062145862,37545.19992800312,7815.718969346246,1916.58724085649,0
7,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28228.550321945942,37542.55341911505,7819.991229146326,1913.9407319684178,0
8,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28232.140071251833,37540.13824169699,7823.580978452217,1911.5255545503533,0
9,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28235.00539437586,37629.05546471564,7826.446301576245,2000.4427775690056,0
10,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28235.047310063535,37537.95439574893,7826.488217263919,1909.3417086022964,0
11,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28237.954548875237,37535.77054980087,7829.395456075621,1907.1578626542396,0
12,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28238.68127821711,37626.858546739546,7830.122185417495,1998.245859592913,0
13,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28240.786318822367,37533.104704524274,7832.227226022751,1904.4920173776409,0
14,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28241.69680019033,37625.04838171387,7833.137707390713,1996.4356945672334,0
15,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28243.54261990493,37529.95685991913,7834.9835271053125,1901.3441727725003,0
16,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28244.712322163556,37623.23821668819,7836.153229363939,1994.625529541554,0
17,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28246.76486769822,37526.84191226645,7838.205774898604,1898.229225119816,0
18,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28247.718001179426,37621.442610117236,7839.15890837981,1992.8299229706026,0
19,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28250.45306220225,37523.759861566214,7841.893969402634,1895.1471744195806,0
20,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28250.71383723794,37619.661562001,7842.154744438325,1991.0488748543648,0
21,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28253.709673296464,37617.88051388476,7845.150580496847,1989.267826738127,0
22,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28254.141256706273,37520.677810865986,7845.582163906656,1892.0651237193524,0
23,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28257.353569376664,37615.7378344497,7848.794476577048,1987.1251473030643,0
24,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28257.94922001101,37517.95096620007,7849.390127211394,1889.3382790534379,0
25,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28261.645525478547,37613.2335236958,7853.086432678931,1984.6208365491693,0
26,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28261.876952116465,37515.579327568485,7853.317859316849,1886.9666404218515,0
27,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28265.910412050307,37610.745189736204,7857.351319250691,1982.1325025895712,0
28,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28270.148229091938,37608.27283257091,7861.589136292321,1979.6601454242773,0
29,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28274.37620346264,37605.77680770548,7865.817110663025,1977.1641205588458,0
30,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28278.594335162423,37603.25711513992,7870.0352423628065,1974.644427993284,0
31,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28284.801042838903,37507.98672891746,7876.241950039286,1879.374041770825,0
32,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28288.90105235071,37504.81927171267,7880.341959551093,1876.20658456604,0
33,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28292.56546753236,37501.915326528266,7884.006374732744,1873.3026393816326,0
34,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28295.79428838387,37499.27489336423,7887.235195584253,1870.6622062175957,0
35,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28299.62851385145,37496.621073921735,7891.069421051834,1868.0083867751018,0
36,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28304.068143935103,37493.95386820078,7895.5090511354865,1865.3411810541438,0
37,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28327.63694331808,37600.83381155989,7919.077850518464,1972.221124413256,0
38,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28349.714577179584,37568.892502367664,7941.155484379968,1940.2798152210307,0
39,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28353.799837873066,37565.92280760009,7945.24074507345,1937.3101204534541,0
40,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28357.917092738353,37562.97863420182,7949.357999938737,1934.3659470551866,0
41,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28362.066341775433,37560.05998217285,7953.507248975817,1931.4472950262134,0
42,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28366.139300435607,37557.5530332904,7957.5802076359905,1928.9403461437687,0
43,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28327.63694331808,37600.83381155989,7919.077850518464,1972.221124413256,0
44,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28327.63694331808,37600.83381155989,7919.077850518464,1972.221124413256,0
