id,perceptionId,originX,originY,destinationX,destinationY,translationX,translationY,rotationCCW
0,21427.535086914875_36092.87302021452,21427.535086914875,36092.87302021452,28211.67782492859,37592.92989274751,6784.142738013714,1500.0568725329867,1.752029157660966
1,21850.446425716804_35680.496838801,21850.446425716804,35680.496838801,28213.784416710885,37596.66851337068,6363.337990994081,1916.1716745696758,4.013864007384881
2,20512.68965294485_35650.50981634105,20512.68965294485,35650.50981634105,28214.29792699038,37613.37783215876,7701.608274045531,1962.8680158177085,4.053766731039585
3,20782.989184840473_35163.57836570002,20782.989184840473,35163.57836570002,28215.40372845887,37609.42221882742,7432.414543618397,2445.8438531274005,2.8812398405391644
4,21118.24879454475_36132.8747389849,21118.24879454475,36132.8747389849,28215.969759344694,37601.21537034383,7097.720964799944,1468.3406313589294,0.1922891347156216
5,20654.8558091852_35477.52464399535,20654.8558091852,35477.52464399535,28216.509529927356,37605.46660549608,7561.653720742157,2127.9419615007355,2.072158385045749
6,20604.16785326625_35121.00573642558,20604.16785326625,35121.00573642558,28224.278062145862,37545.19992800312,7620.110208879611,2424.194191577546,0.3326874134384566
7,20638.776208080177_36381.34299971918,20638.776208080177,36381.34299971918,28228.550321945942,37542.55341911505,7589.774113865766,1161.210419395873,1.470498143640729
8,21245.0721038044_35394.9440336487,21245.0721038044,35394.9440336487,28232.140071251833,37540.13824169699,6987.067967447434,2145.194208048284,2.209276577750017
9,20972.010598186975_36146.483234735046,20972.010598186975,36146.483234735046,28235.00539437586,37629.05546471564,7262.9947961888865,1482.572229980593,0.7190959308202703
10,21130.275913825575_35587.6352006139,21130.275913825575,35587.6352006139,28235.047310063535,37537.95439574893,7104.77139623796,1950.319195135031,3.6809870587251607
11,21342.305474052708_35293.046797494,21342.305474052708,35293.046797494,28237.954548875237,37535.77054980087,6895.64907482253,2242.723752306876,0.5407557953530381
12,21533.020007970103_35989.1969337853,21533.020007970103,35989.1969337853,28238.68127821711,37626.858546739546,6705.661270247008,1637.6616129542454,1.5684080820501727
13,21161.910669677152_35735.278349077904,21161.910669677152,35735.278349077904,28240.786318822367,37533.104704524274,7078.875649145215,1797.8263554463701,2.451376174524645
14,20673.7829634704_35359.7073795185,20673.7829634704,35359.7073795185,28241.69680019033,37625.04838171387,7567.91383671993,2265.3410021953678,3.412822044044631
15,21667.80701251575_35830.0883828425,21667.80701251575,35830.0883828425,28243.54261990493,37529.95685991913,6575.735607389179,1699.868477076634,4.772772220123994
16,20622.940612288952_35755.477981961594,20622.940612288952,35755.477981961594,28244.712322163556,37623.23821668819,7621.771709874603,1867.760234726593,3.9838834431940287
17,21472.30121275245_35833.90720450525,21472.30121275245,35833.90720450525,28246.76486769822,37526.84191226645,6774.463654945772,1692.9347077611965,4.4962322757841
18,21410.007990732323_36175.2129921369,21410.007990732323,36175.2129921369,28247.718001179426,37621.442610117236,6837.710010447103,1446.229617980338,4.2231980012697266
19,21224.8992199285_35806.69371897612,21224.8992199285,35806.69371897612,28250.45306220225,37523.759861566214,7025.553842273752,1717.0661425900907,2.5071414238393777
20,20858.383691507875_35522.41043338755,20858.383691507875,35522.41043338755,28250.71383723794,37619.661562001,7392.330145730066,2097.251128613447,0.11215513297103172
21,21343.885709730723_35834.0269089308,21343.885709730723,35834.0269089308,28253.709673296464,37617.88051388476,6909.823963565741,1783.8536049539616,5.3088574283505015
22,21256.586018069676_36262.381373071024,21256.586018069676,36262.381373071024,28254.141256706273,37520.677810865986,6997.555238636596,1258.296437794961,2.833175052479003
23,21180.0512135965_36097.05114985003,21180.0512135965,36097.05114985003,28257.353569376664,37615.7378344497,7077.302355780164,1518.6866845996701,4.218309538466034
24,21054.25009864895_36363.86950037405,21054.25009864895,36363.86950037405,28257.94922001101,37517.95096620007,7203.69912136206,1154.0814658260206,1.7190735629571943
25,21601.8471665552_35949.240753557926,21601.8471665552,35949.240753557926,28261.645525478547,37613.2335236958,6659.798358923348,1663.9927701378765,5.905370868841321
26,20606.7261840554_35219.000004274996,20606.7261840554,35219.000004274996,28261.876952116465,37515.579327568485,7655.150768061067,2296.5793232934884,4.545654755346109
27,21066.23515837365_36300.10080989763,21066.23515837365,36300.10080989763,28265.910412050307,37610.745189736204,7199.675253676658,1310.6443798385735,4.586685887937776
28,20585.329997363126_36438.0577659543,20585.329997363126,36438.0577659543,28270.148229091938,37608.27283257091,7684.818231728812,1170.2150666166126,3.584706674436236
29,21046.041204329977_36152.433176019025,21046.041204329977,36152.433176019025,28274.37620346264,37605.77680770548,7228.334999132665,1453.3436316864536,5.011897626533724
30,20758.153496450825_35097.478137321945,20758.153496450825,35097.478137321945,28278.594335162423,37603.25711513992,7520.440838711598,2505.778977817972,3.978243507683327
31,20556.232632235125_35856.877287761396,20556.232632235125,35856.877287761396,28284.801042838903,37507.98672891746,7728.568410603777,1651.1094411560625,5.965024747323133
32,20824.963712095723_36313.80923863315,20824.963712095723,36313.80923863315,28288.90105235071,37504.81927171267,7463.937340254986,1191.0100330795249,5.394163836162866
33,21406.253946051675_35655.80154870931,21406.253946051675,35655.80154870931,28292.56546753236,37501.915326528266,6886.311521480686,1846.1137778189586,2.5136937965688353
34,21581.452450478624_36069.664056558475,21581.452450478624,36069.664056558475,28295.79428838387,37499.27489336423,6714.3418379052455,1429.610836805754,1.729922340163286
35,21236.677169228125_35715.10927562815,21236.677169228125,35715.10927562815,28299.62851385145,37496.621073921735,7062.951344623325,1781.5117982935844,1.9826717557213498
36,21219.5132980007_35753.87438935907,21219.5132980007,35753.87438935907,28304.068143935103,37493.95386820078,7084.554845934403,1740.0794788417043,2.174761785254613
37,20797.87925750908_35357.45132988475,20797.87925750908,35357.45132988475,28327.63694331808,37600.83381155989,7529.757685809,2243.3824816751367,0.4655935934161852
38,21436.9427919283_35833.27912978445,21436.9427919283,35833.27912978445,28349.714577179584,37568.892502367664,6912.771785251283,1735.6133725832115,2.321340883547241
39,20722.7012241534_36405.747051621925,20722.7012241534,36405.747051621925,28353.799837873066,37565.92280760009,7631.098613719667,1160.1757559781618,2.2497606004849993
40,20726.376513632025_36420.893616528425,20726.376513632025,36420.893616528425,28357.917092738353,37562.97863420182,7631.540579106328,1142.0850176733948,6.041892846398766
41,21285.481015660775_35827.605647783275,21285.481015660775,35827.605647783275,28362.066341775433,37560.05998217285,7076.5853261146585,1732.4543343895712,2.699632587941914
42,20694.641578279203_36453.402519321025,20694.641578279203,36453.402519321025,28366.139300435607,37557.5530332904,7671.497722156404,1104.1505139693763,5.12675680439657
43,21004.98566168385_35432.1885751777,21004.98566168385,35432.1885751777,28326.227775069565,37530.09640914725,7321.242113385713,2097.907833969548,0.43635803769294196
44,20828.0383311004_36309.84308189577,20828.0383311004,36309.84308189577,28302.930991418296,37557.64455731922,7474.892660317895,1247.8014754234464,3.8553212863991617
