id,perceptionId,originX,originY,destinationX,destinationY,translationX,translationY,rotationCCW
0,21498.026725601176_36038.70279415505,21498.026725601176,36038.70279415505,28539.637775751973,37857.01921979023,7041.611050150797,1818.316425635181,2.8598492265302062
1,21347.524876296477_35472.33665943855,21347.524876296477,35472.33665943855,28540.553338144848,37826.91911685325,7193.028461848371,2354.5824574146973,4.652558672835931
2,20511.732241675425_35808.72212520765,20511.732241675425,35808.72212520765,28541.7591715035,37861.432172901026,8030.026929828076,2052.7100476933774,4.555795487384735
3,21463.746932725524_36191.714365706095,21463.746932725524,36191.714365706095,28543.95439815383,37865.93170395982,7080.207465428306,1674.2173382537221,5.209958588792391
4,21005.041515375277_35596.081992708576,21005.041515375277,35596.081992708576,28544.623882915243,37823.81881733969,7539.582367539966,2227.736824631116,2.7275207976986575
5,20783.702390193976_35065.26093098365,20783.702390193976,35065.26093098365,28546.22345570295,37870.5178129666,7762.521065508976,2805.256881982954,2.7214839134490436
6,20745.791496416874_35407.612379676255,20745.791496416874,35407.612379676255,28548.152072770303,37874.4065835571,7802.360576353429,2466.794203880847,1.5292580759581234
7,20914.42012023595_35420.52792367472,20914.42012023595,35420.52792367472,28548.999595275225,37821.179442327186,7634.579475039274,2400.651518652463,2.060375299163347
8,21291.74721144975_35665.61869989008,21291.74721144975,35665.61869989008,28549.740249355884,37877.59801573132,7257.993037906133,2211.979315841236,4.431935477167454
9,21867.690200128753_35763.125446507926,21867.690200128753,35763.125446507926,28552.793684667722,37819.108292576595,6685.1034845389695,2055.9828460686695,3.6974828059575833
10,21222.76416267715_36205.581794924496,21222.76416267715,36205.581794924496,28554.038832085178,37883.95064487797,7331.274669408027,1678.3688499534765,4.485187493295173
11,20870.498057636672_35800.5772712576,20870.498057636672,35800.5772712576,28556.006151092733,37817.605368087934,7685.508093456061,2017.028096830334,3.0840721538821536
12,20772.3482799614_36374.011673017274,20772.3482799614,36374.011673017274,28557.871467787016,37887.081606648644,7785.523187825616,1513.06993363137,1.2052673082820906
13,20909.747272722325_36206.8053463533,20909.747272722325,36206.8053463533,28559.21861751774,37816.10244359927,7649.471344795416,1609.2970972459734,1.2843819567663923
