id,perceptionId,originX,originY,destinationX,destinationY,translationX,translationY,rotationCCW
0,20559.18430526235_36306.084865150755,20559.18430526235,36306.084865150755,28674.00363256027,37609.78418637067,8114.819327297919,1303.6993212199159,0.0
1,20493.223109865474_36444.908193538125,20493.223109865474,36444.908193538125,28548.16570377307,37625.94697392665,8054.942593907595,1181.0387803885242,0.0
2,20514.063377080325_35604.32442524285,20514.063377080325,35604.32442524285,28579.422451808983,37626.179877274335,8065.359074728658,2021.8554520314865,0.0
3,20684.0523156111_36452.79303875897,20684.0523156111,36452.79303875897,28609.753123557744,37613.048857523056,7925.700807946643,1160.2558187640825,0.0
4,20673.689967581577_36474.772905905826,20673.689967581577,36474.772905905826,28705.137638652664,37591.685195066064,8031.447671071088,1116.9122891602383,0.0
5,20598.687784265952_35221.613611461624,20598.687784265952,35221.613611461624,28592.285479922095,37619.46325146545,7993.597695656143,2397.8496400038275,0.0
6,20545.713192802374_35708.36493976496,20545.713192802374,35708.36493976496,28537.258472420814,37601.46888107611,7991.54527961844,1893.1039413111503,0.0
7,20436.18812564575_35505.71944302487,20436.18812564575,35505.71944302487,28604.99347015438,37614.50396569345,8168.80534450863,2108.784522668582,0.0
8,21223.365268574074_36143.142450771025,21223.365268574074,36143.142450771025,28683.207885880936,37640.38166326427,7459.842617306862,1497.2392124932448,0.0
9,21295.040850893998_35560.793402959425,21295.040850893998,35560.793402959425,28792.99133453566,37481.85438257927,7497.950483641664,1921.0609796198478,0.0
10,20904.302898473223_35418.14029555528,20904.302898473223,35418.14029555528,28797.095630596195,37743.281749697344,7892.792732122973,2325.1414541420672,0.0
11,20446.621729159175_35575.05751438117,20446.621729159175,35575.05751438117,28814.141516348274,37573.29637326832,8367.5197871891,1998.2388588871472,0.0
12,20676.671220992674_35745.0407186168,20676.671220992674,35745.0407186168,28814.141516348274,37573.29637326832,8137.470295355601,1828.2556546515189,0.0
13,21054.476103394052_35870.49149174187,21054.476103394052,35870.49149174187,28819.742636957526,37666.544372649645,7765.266533563474,1796.0528809077732,0.0
14,21569.575148646327_35719.52086798908,21569.575148646327,35719.52086798908,28639.84922651667,37605.479830474564,7070.274077870345,1885.9589624854852,0.0
15,21572.227032402374_35723.96166743363,21572.227032402374,35723.96166743363,28694.164427616324,37665.029572236745,7121.93739521395,1941.067904803116,0.0
16,21572.227032402374_35723.96166743363,21572.227032402374,35723.96166743363,28751.775194393205,37713.06502203795,7179.548161990831,1989.1033546043182,0.0
17,21569.575148646327_35719.52086798908,21569.575148646327,35719.52086798908,28749.009330761113,37579.82047728486,7179.434182114786,1860.2996092957837,0.0
18,21596.8249808591_35710.414345803714,21596.8249808591,35710.414345803714,28767.735063436936,37757.656552387685,7170.910082577837,2047.242206583971,3.141592653589793
19,20538.176204030475_35605.552777581026,20538.176204030475,35605.552777581026,28596.416745334333,37617.77055879073,8058.240541303858,2012.217781209707,0.0
20,21067.4087989639_35538.99527728215,21067.4087989639,35538.99527728215,28802.775093305212,37517.82892247115,7735.366294341311,1978.833645188999,0.0
21,20807.740475355626_36318.4912828804,20807.740475355626,36318.4912828804,28694.985483782613,37563.57688595664,7887.245008426988,1245.085603076237,0.0
22,20441.343724874452_35506.46101011243,20441.343724874452,35506.46101011243,28792.99133453566,37481.85438257927,8351.64760966121,1975.393372466846,0.0
23,20441.343724874452_35506.46101011243,20441.343724874452,35506.46101011243,28792.99133453566,37481.85438257927,8351.64760966121,1975.393372466846,0.0
24,21569.575148646327_35719.52086798908,21569.575148646327,35719.52086798908,28749.009330761113,37579.82047728486,7179.434182114786,1860.2996092957837,0.0
25,20655.6137602587_36493.33889187745,20655.6137602587,36493.33889187745,28699.23636004979,37579.339205713986,8043.622599791088,1086.0003138365355,0.0
