id,perceptionId,originX,originY,destinationX,destinationY,translationX,translationY,rotationCCW
0,20609.71667368895_35470.9382730999,20609.71667368895,35470.9382730999,28059.290069581122,37727.40343195216,7449.573395892174,2256.465158852261,2.9242467238937038
1,21143.40484142615_36399.970074545396,21143.40484142615,36399.970074545396,28061.02503848055,37726.358590374155,6917.6201970544025,1326.3885158287594,0.4102580567462383
2,21625.534082876402_35862.534878477454,21625.534082876402,35862.534878477454,28068.484169339754,37759.73982952826,6442.950086463352,1897.2049510508077,4.393773233399467
3,21241.2853749313_35751.54364544535,21241.2853749313,35751.54364544535,28070.83683676581,37764.107932498824,6829.551461834511,2012.564287053472,5.641614785222132
4,20691.153740741_36456.97377450967,20691.153740741,36456.97377450967,28070.915598218293,37720.72528856654,7379.761857477293,1263.7515140568648,6.159576971741941
5,21256.2286430293_35638.265575302525,21256.2286430293,35638.265575302525,28073.12059778796,37768.59112309498,6816.891954758663,2130.325547792454,4.325474644752588
6,21422.520760787673_35843.9522664894,21422.520760787673,35843.9522664894,28075.335452406205,37773.18940131672,6652.814691618532,1929.2371348273155,1.1610359567401005
7,21016.974697833975_35331.457383317924,21016.974697833975,35331.457383317924,28077.27304022934,37777.32264196634,7060.298342395363,2445.865258648417,2.674987818936767
8,21034.36931622905_35861.5557642086,21034.36931622905,35861.5557642086,28078.933361257365,37780.99084504384,7044.564045028314,1919.4350808352392,3.8455162166172356
9,20973.0173764472_35123.56516845025,20973.0173764472,35123.56516845025,28080.59368228539,37784.65904812134,7107.576305838193,2661.0938796710907,5.6606202824896155
10,21256.605288202598_35749.392131919754,21256.605288202598,35749.392131919754,28082.116190229488,37788.119774817475,6825.51090202689,2038.7276428977202,0.259553940160644
11,21527.680779453178_35521.92702473195,21527.680779453178,35521.92702473195,28083.500885089663,37791.373025132234,6555.820105636485,2269.446000400283,5.453218182199648
12,21191.751138361076_35641.9056777486,21191.751138361076,35641.9056777486,28084.111223657535,37718.94637574095,6892.360085296459,2077.04069799235,3.241268613788017
13,21241.2853749313_35751.54364544535,21241.2853749313,35751.54364544535,28084.885579949834,37794.62627544699,6843.600205018534,2043.0826300016415,1.3081886295881326
14,21633.1847000958_35769.30770187405,21633.1847000958,35769.30770187405,28086.515549711454,37798.45417008171,6453.330849615653,2029.146468207662,5.511122090846745
15,21426.219841978476_35819.9010418829,21426.219841978476,35819.9010418829,28088.39079437452,37802.85670903639,6662.170952396045,1982.9556671534883,2.002919929915865
16,21382.544950776177_35830.063370599375,21382.544950776177,35830.063370599375,28090.357094483537,37807.37538676149,6707.8121437073605,1977.3120161621118,2.751181895752979
17,20746.279015733802_35333.16853878453,20746.279015733802,35333.16853878453,28092.41445003851,37812.01020325703,7346.135434304706,2478.8416644725003,5.931189205439572
18,21160.30420775835_36021.75618486575,21160.30420775835,36021.75618486575,28094.469344833495,37816.619332564704,6934.165137075146,1794.863147698954,5.225520665837335
