id,perceptionId,originX,originY,destinationX,destinationY,translationX,translationY,rotationCCW
0,20500.845985051677_36451.832438295474,20500.845985051677,36451.832438295474,28254.141256706273,37520.677810865986,7753.295271654595,1068.8453725705112,0.0
1,20453.177088943266_36408.66555431137,20453.177088943266,36408.66555431137,28202.208005914978,37579.53755705791,7749.030916971711,1170.872002746546,0.0
2,20752.826969241527_36167.3391973963,20752.826969241527,36167.3391973963,28263.420811918917,37512.63491707286,7510.59384267739,1345.2957196765565,0.0
3,21176.47225392455_35904.97641094017,21176.47225392455,35904.97641094017,28286.923248302228,37494.8557976371,7110.450994377679,1589.8793866969281,0.0
4,20441.343724874452_35506.46101011243,20441.343724874452,35506.46101011243,28309.21657966913,37457.07346540661,7867.872854794678,1950.6124552941837,0.0
5,21572.227032402374_35723.96166743363,21572.227032402374,35723.96166743363,28241.69680019033,37625.04838171387,6669.469767787956,1901.086714280238,0.0
6,21858.220367241232_35697.83403651007,21858.220367241232,35697.83403651007,28327.63694331808,37600.83381155989,6469.416576076848,1902.9997750498223,0.0
7,21596.8249808591_35710.414345803714,21596.8249808591,35710.414345803714,28366.139300435607,37557.5530332904,6769.314319576508,1847.1386874866876,3.141592653589793
8,20453.177088943266_36408.66555431137,20453.177088943266,36408.66555431137,28285.921707759044,37548.990305842664,7832.744618815777,1140.3247515312978,0.0
9,21176.47225392455_35904.97641094017,21176.47225392455,35904.97641094017,28326.18239100163,37496.62396003953,7149.71013707708,1591.6475490993544,0.0
10,21596.8249808591_35710.414345803714,21596.8249808591,35710.414345803714,28366.139300435607,37557.5530332904,6769.314319576508,1847.1386874866876,3.141592653589793
11,21180.02909683285_35901.531859716124,21180.02909683285,35901.531859716124,28285.921707759044,37548.990305842664,7105.892610926192,1647.4584461265404,0.0
12,20498.17389797465_36421.911447703955,20498.17389797465,36421.911447703955,28253.90031421594,37579.924230630415,7755.72641624129,1158.0127829264602,0.0
13,20742.521149539676_35358.37252046285,20742.521149539676,35358.37252046285,28257.484207971716,37576.48542753601,7514.96305843204,2218.112907073162,0.0
14,21572.227032402374_35723.96166743363,21572.227032402374,35723.96166743363,28241.69680019033,37625.04838171387,6669.469767787956,1901.086714280238,0.0
