id,perceptionId,originX,originY,destinationX,destinationY,translationX,translationY,rotationCCW
0,20493.223109865474_36444.908193538125,20493.223109865474,36444.908193538125,28254.141256706273,37520.677810865986,7760.918146840799,1075.76961732786,0.0
1,20486.091495391425_35700.48538310552,20486.091495391425,35700.48538310552,28202.208005914978,37579.53755705791,7716.116510523552,1879.0521739523901,0.0
2,20493.71701010415_36426.670688418846,20493.71701010415,36426.670688418846,28263.420811918917,37512.63491707286,7769.703801814769,1085.964228654011,0.0
3,20576.427852234552_35251.1607193347,20576.427852234552,35251.1607193347,28286.923248302228,37494.8557976371,7710.495396067676,2243.6950783024004,0.0
4,20441.343724874452_35506.46101011243,20441.343724874452,35506.46101011243,28309.21657966913,37457.07346540661,7867.872854794678,1950.6124552941837,0.0
5,21572.227032402374_35723.96166743363,21572.227032402374,35723.96166743363,28241.69680019033,37625.04838171387,6669.469767787956,1901.086714280238,0.0
6,21569.575148646327_35719.52086798908,21569.575148646327,35719.52086798908,28327.63694331808,37600.83381155989,6758.061794671754,1881.3129435708106,0.0
7,21596.8249808591_35710.414345803714,21596.8249808591,35710.414345803714,28366.139300435607,37557.5530332904,6769.314319576508,1847.1386874866876,3.141592653589793
8,20453.177088943266_36408.66555431137,20453.177088943266,36408.66555431137,28216.509529927356,37605.46660549608,7763.33244098409,1196.801051184717,0.0
9,20486.091495391425_35700.48538310552,20486.091495391425,35700.48538310552,28304.068143935103,37493.95386820078,7817.976648543678,1793.4684850952544,0.0
10,20488.204961491076_36433.57147846358,20488.204961491076,36433.57147846358,28288.17242802115,37552.02241564351,7799.967466530074,1118.4509371799286,0.0
11,20418.944578321443_35568.958452552324,20418.944578321443,35568.958452552324,28293.190576395547,37563.359130718054,7874.245998074104,1994.40067816573,0.0
12,21572.227032402374_35723.96166743363,21572.227032402374,35723.96166743363,28241.69680019033,37625.04838171387,6669.469767787956,1901.086714280238,0.0
