id,perceptionId,originX,originY,destinationX,destinationY,translationX,translationY,rotationCCW
0,20500.845985051677_36451.832438295474,20500.845985051677,36451.832438295474,28250.45306220225,37523.759861566214,7749.607077150573,1071.9274232707394,-0.14824961208731047
1,20500.845985051677_36451.832438295474,20500.845985051677,36451.832438295474,28254.141256706273,37520.677810865986,7753.295271654595,1068.8453725705112,-0.07260731220834371
2,20500.845985051677_36451.832438295474,20500.845985051677,36451.832438295474,28257.94922001101,37517.95096620007,7757.103234959333,1066.1185279045967,-0.012227635590258856
3,20499.779932292975_35701.9590874817,20499.779932292975,35701.9590874817,28209.649983997806,37589.99950847434,7709.870051704831,1888.0404209926419,0.015679900042105288
4,20506.7976367723_35705.2778750398,20506.7976367723,35705.2778750398,28213.784416710885,37596.66851337068,7706.986779938587,1891.3906383308786,-0.04217524752858326
5,21029.602162033625_36244.554240884325,21029.602162033625,36244.554240884325,28215.40372845887,37609.42221882742,7185.801566425245,1364.8679779430968,0.24221764162492976
6,20506.7976367723_35705.2778750398,20506.7976367723,35705.2778750398,28215.969759344694,37601.21537034383,7709.172122572396,1895.9374953040315,-0.006601602799553241
7,20506.7976367723_35705.2778750398,20506.7976367723,35705.2778750398,28216.509529927356,37605.46660549608,7709.711893155058,1900.1887304562842,-0.008122126807511343
8,20466.35206218845_35696.00368204703,20466.35206218845,35696.00368204703,28224.278062145862,37545.19992800312,7757.925999957413,1849.1962459560964,0.08778019145107796
9,20466.35206218845_35696.00368204703,20466.35206218845,35696.00368204703,28228.550321945942,37542.55341911505,7762.198259757493,1846.5497370680241,0.0694907565094931
10,21186.8463660456_35648.19653279992,21186.8463660456,35648.19653279992,28237.954548875237,37535.77054980087,7051.108182829637,1887.5740170009522,0.008323973229131698
11,21057.75600269005_36293.68204526405,21057.75600269005,36293.68204526405,28284.801042838903,37507.98672891746,7227.045040148852,1214.304683653405,-0.3147985250318518
12,21066.23515837365_36300.10080989763,21066.23515837365,36300.10080989763,28295.79428838387,37499.27489336423,7229.5591300102205,1199.174083466598,-0.08536494800734751
13,21066.23515837365_36300.10080989763,21066.23515837365,36300.10080989763,28299.62851385145,37496.621073921735,7233.393355477801,1196.520264024104,0.015349957393829161
14,21066.23515837365_36300.10080989763,21066.23515837365,36300.10080989763,28304.068143935103,37493.95386820078,7237.832985561454,1193.853058303146,0.12279014750004652
15,21572.227032402374_35723.96166743363,21572.227032402374,35723.96166743363,28235.00539437586,37629.05546471564,6662.778361973487,1905.0937972820102,0.028841923735623887
16,21604.821226293498_35705.87185074098,21604.821226293498,35705.87185074098,28244.712322163556,37623.23821668819,6639.891095870058,1917.3663659472077,0.0933497734883928
17,21604.821226293498_35705.87185074098,21604.821226293498,35705.87185074098,28257.353569376664,37615.7378344497,6652.532343083167,1909.865983708718,0.09420125331718054
18,21604.821226293498_35705.87185074098,21604.821226293498,35705.87185074098,28261.645525478547,37613.2335236958,6656.824299185049,1907.361672954823,0.0937507567152025
19,21604.821226293498_35705.87185074098,21604.821226293498,35705.87185074098,28265.910412050307,37610.745189736204,6661.0891857568095,1904.873338995225,0.09324704176317944
20,21604.821226293498_35705.87185074098,21604.821226293498,35705.87185074098,28270.148229091938,37608.27283257091,6665.32700279844,1902.400981829931,0.09275794680184424
21,21604.821226293498_35705.87185074098,21604.821226293498,35705.87185074098,28274.37620346264,37605.77680770548,6669.554977169144,1899.9049569644994,0.09278240745014887
22,21604.821226293498_35705.87185074098,21604.821226293498,35705.87185074098,28278.594335162423,37603.25711513992,6673.773108868925,1897.3852643989376,0.0932554290214278
23,21600.823103576302_35708.143098272354,21600.823103576302,35708.143098272354,28327.63694331808,37600.83381155989,6726.813839741779,1892.690713287535,0.7064006422243749
24,21865.905643565668_35714.68850576757,21865.905643565668,35714.68850576757,28349.714577179584,37568.892502367664,6483.808933613916,1854.2039966000957,-4.392617655778398
25,21865.905643565668_35714.68850576757,21865.905643565668,35714.68850576757,28353.799837873066,37565.92280760009,6487.894194307399,1851.2343018325191,-4.377728293315623
26,21865.905643565668_35714.68850576757,21865.905643565668,35714.68850576757,28357.917092738353,37562.97863420182,6492.011449172685,1848.2901284342515,-4.359086828777024
27,21867.844182086003_35718.865791612494,21867.844182086003,35718.865791612494,28362.066341775433,37560.05998217285,6494.222159689431,1841.1941905603526,-4.40991878761744
28,21604.821226293498_35705.87185074098,21604.821226293498,35705.87185074098,28366.139300435607,37557.5530332904,6761.318074142109,1851.6811825494224,-2.873349056315885
29,20514.31253186465_35630.636118410526,20514.31253186465,35630.636118410526,28334.370377549432,37521.93218023778,7820.057845684783,1891.2960618272555,6.200209861268765
30,21066.23515837365_36300.10080989763,21066.23515837365,36300.10080989763,28327.17505374098,37514.74341194635,7260.93989536733,1214.6426020487197,0.1236568311727071
31,21729.31307220155_35745.859476947706,21729.31307220155,35745.859476947706,28320.80218311336,37552.999130588505,6591.489110911811,1807.1396536407992,0.09562969226108375
32,21604.821226293498_35705.87185074098,21604.821226293498,35705.87185074098,28326.71314149389,37552.193991754844,6721.891915200391,1846.322141013865,0.10224855802604199
33,21242.26749032065_36074.56503228038,21242.26749032065,36074.56503228038,28258.746528009,37568.00065515999,7016.47903768835,1493.4356228796096,-0.42662157926825206
34,21569.575148646327_35719.52086798908,21569.575148646327,35719.52086798908,28303.172060004737,37555.36046758199,6733.596911358411,1835.8395995929095,0.11526561310665606
